prompt,true_label
"According to the your knowledge , choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Question: Which person or organization did Jumanah Essa-Hadad work for?
Choices:
A) Institute of Physics NAS of Ukraine
B) uncertain
C) National Library of Russia
D) The Azrieli Faculty of Medicine
",D
"According to the your knowledge , choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Question: Which award did Martin Lambie-Nairn receive?
Choices:
A) GLAAD Stephen F. Kolzak Award
B) Founder’s Medal
C) Prince Philip Designers Prize
D) uncertain
",C
"According to the your knowledge , choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Question: Who is Lord William Hamilton's spouse?
Choices:
A) Frances Vane, Viscountess Vane
B) Caroline Elizabeth Margaret Eyre
C) Mary Hamilton Victoria Ignatia Bowlby
D) uncertain
",A
"According to the your knowledge , choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Question: Which person or organization did Eliezer Calo work for?
Choices:
A) uncertain
B) Yong Loo Lin School of Medicine
C) Massachusetts Institute of Technology
D) National Institute of Agricultural Research
",C
"According to the your knowledge , choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Question: What position does Denis Poix-Daude currently or formerly hold?
Choices:
A) conseiller municipal de Jougne
B) Member of the Cortes republicanas
C) dean
D) uncertain
",A
"According to the your knowledge , choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Question: What position does Michael Mylonas currently or formerly hold?
Choices:
A) King's Counsel
B) uncertain
C) Governor of Illinois
D) member of the European Parliament
",A
"According to the your knowledge , choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Question: Which country is François Carquet a citizen of?
Choices:
A) uncertain
B) Kingdom of Italy
C) France
D) Ayutthaya Kingdom
",C
"According to the your knowledge , choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Question: Which person or organization did Wenqing He work for?
Choices:
A) University of Texas Southwestern Medical Center
B) The Chinese University of Hong Kong, Shenzhen
C) Memorial Sloan Kettering Cancer Center
D) uncertain
",B
"According to the your knowledge , choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Question: Which award was Gomorrah nominated for?
Choices:
A) uncertain
B) Locus Award for Best Fantasy Novel
C) Golden Globe Award for Best Non-English Language Film
D) Broadcast Film Critics Association Award for Best Foreign Language Film
",D
"According to the your knowledge , choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Question: In which significant event was Reconfiguration of hardware components of an integrated circuit involved?
Choices:
A) construction
B) uncertain
C) bankruptcy
D) filing
",D
"According to the your knowledge , choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Question: What is the occupation of Guy Avenia?
Choices:
A) anciennes professions intermédiaires
B) uncertain
C) business executive
D) pensioner
",A
"According to the your knowledge , choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Question: Which sports team does Wuilmen Bravo represent or represent?
Choices:
A) uncertain
B) Grays Athletic F.C.
C) Gümüşhanespor
D) JHS Aves
",D
"According to the your knowledge , choose the best option from the following list and respond with only A, B, C, or D. Do not generate any additional content beyond selecting one of these options.
Question: What position does Marie Joseph Jean Baptiste Paul Bouchet currently or formerly hold?
Choices:
A) uncertain
B) sub-prefect of Saint-Affrique
C) vicar apostolic
D) Leader of the Opposition
",B
